Date,Open,High,Low,Close,Adj Close,Volume
2013/4/24,1578.780029,1583,1575.800049,1578.790039,1578.790039,3598240000
2013/4/25,1578.930054,1592.640015,1578.930054,1585.160034,1585.160034,3908580000
2013/4/26,1585.160034,1585.780029,1577.560059,1582.23999,1582.23999,3198620000
2013/4/29,1582.339966,1596.650024,1582.339966,1593.609985,1593.609985,2891200000
2013/4/30,1593.579956,1597.569946,1586.5,1597.569946,1597.569946,3745070000
2013/5/1,1597.550049,1597.550049,1581.280029,1582.699951,1582.699951,3530320000
2013/5/2,1582.77002,1598.599976,1582.77002,1597.589966,1597.589966,3366950000
2013/5/3,1597.599976,1618.459961,1597.599976,1614.420044,1614.420044,3603910000
2013/5/6,1614.400024,1619.77002,1614.209961,1617.5,1617.5,3062240000
2013/5/7,1617.550049,1626.030029,1616.640015,1625.959961,1625.959961,3309580000
2013/5/8,1625.949951,1632.780029,1622.699951,1632.689941,1632.689941,3554700000
2013/5/9,1632.689941,1635.01001,1623.089966,1626.670044,1626.670044,3457400000
2013/5/10,1626.689941,1633.699951,1623.709961,1633.699951,1633.699951,3086470000
2013/5/13,1632.099976,1636,1626.73999,1633.77002,1633.77002,2910600000
2013/5/14,1633.75,1651.099976,1633.75,1650.339966,1650.339966,3457790000
2013/5/15,1649.130005,1661.48999,1646.680054,1658.780029,1658.780029,3657440000
2013/5/16,1658.069946,1660.51001,1648.599976,1650.469971,1650.469971,3513130000
2013/5/17,1652.449951,1667.469971,1652.449951,1667.469971,1667.469971,3440710000
2013/5/20,1665.709961,1672.839966,1663.52002,1666.290039,1666.290039,3275080000
2013/5/21,1666.199951,1674.930054,1662.670044,1669.160034,1669.160034,3513560000
2013/5/22,1669.390015,1687.180054,1648.859985,1655.349976,1655.349976,4361020000
2013/5/23,1651.619995,1655.5,1635.530029,1650.51001,1650.51001,3945510000
2013/5/24,1646.670044,1649.780029,1636.880005,1649.599976,1649.599976,2758080000
2013/5/28,1652.630005,1674.209961,1652.630005,1660.060059,1660.060059,3457400000
2013/5/29,1656.569946,1656.569946,1640.050049,1648.359985,1648.359985,3587140000
2013/5/30,1649.140015,1661.910034,1648.609985,1654.410034,1654.410034,3498620000
2013/5/31,1652.130005,1658.98999,1630.73999,1630.73999,1630.73999,4099600000
2013/6/3,1631.709961,1640.420044,1622.719971,1640.420044,1640.420044,3952070000
2013/6/4,1640.72998,1646.530029,1623.619995,1631.380005,1631.380005,3653840000
2013/6/5,1629.050049,1629.310059,1607.089966,1608.900024,1608.900024,3632350000
2013/6/6,1609.290039,1622.560059,1598.22998,1622.560059,1622.560059,3547380000
2013/6/7,1625.27002,1644.400024,1625.27002,1643.380005,1643.380005,3371990000
2013/6/10,1644.670044,1648.689941,1639.26001,1642.810059,1642.810059,2978730000
2013/6/11,1638.640015,1640.130005,1622.920044,1626.130005,1626.130005,3435710000
2013/6/12,1629.939941,1637.709961,1610.920044,1612.52002,1612.52002,3202550000
2013/6/13,1612.150024,1639.25,1608.069946,1636.359985,1636.359985,3378620000
2013/6/14,1635.52002,1640.800049,1623.959961,1626.72998,1626.72998,2939400000
2013/6/17,1630.640015,1646.5,1630.339966,1639.040039,1639.040039,3137080000
2013/6/18,1639.77002,1654.189941,1639.77002,1651.810059,1651.810059,3120980000
2013/6/19,1651.829956,1652.449951,1628.910034,1628.930054,1628.930054,3545060000
2013/6/20,1624.619995,1624.619995,1584.319946,1588.189941,1588.189941,4858850000
2013/6/21,1588.619995,1599.189941,1577.699951,1592.430054,1592.430054,5797280000
2013/6/24,1588.77002,1588.77002,1560.329956,1573.089966,1573.089966,4733660000
2013/6/25,1577.52002,1593.790039,1577.089966,1588.030029,1588.030029,3761170000
2013/6/26,1592.27002,1606.829956,1592.27002,1603.26001,1603.26001,3558340000
