"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2023","34,931.4","35,423.8","35,907.6","34,357.4","63.66K","-1.39%"
"11/01/2023","35,423.8","34,648.3","35,557.5","34,138.7","71.66K","2.23%"
"10/31/2023","34,650.6","34,478.9","34,704.6","34,053.9","43.40K","0.50%"
"10/30/2023","34,477.9","34,526.7","34,853.3","34,089.5","45.20K","-0.14%"
"10/29/2023","34,526.7","34,082.6","34,737.9","33,937.6","27.72K","1.30%"
"10/28/2023","34,082.6","33,901.6","34,387.8","33,867.3","22.00K","0.53%"
"10/27/2023","33,901.8","34,153.7","34,245.8","33,423.6","47.33K","-0.74%"
"10/26/2023","34,153.7","34,497.6","34,826.0","33,749.9","56.62K","-0.99%"
"10/25/2023","34,496.8","33,917.0","35,123.9","33,713.4","75.81K","1.71%"
"10/24/2023","33,917.0","33,037.3","35,191.4","32,866.5","159.08K","2.65%"
"10/23/2023","33,041.8","29,984.2","34,375.6","29,891.4","133.46K","10.20%"
"10/22/2023","29,984.2","29,912.7","30,193.4","29,713.6","29.07K","0.24%"
"10/21/2023","29,912.9","29,674.7","30,264.8","29,469.1","34.68K","0.80%"
"10/20/2023","29,674.5","28,724.0","30,165.9","28,586.1","82.68K","3.31%"
"10/19/2023","28,723.0","28,321.8","28,883.8","28,170.2","50.10K","1.42%"
"10/18/2023","28,321.7","28,405.2","28,876.0","28,169.0","45.01K","-0.29%"
"10/17/2023","28,403.6","28,508.3","28,608.5","28,096.9","53.42K","-0.37%"
"10/16/2023","28,509.7","27,161.2","29,969.5","27,119.7","119.18K","4.96%"
"10/15/2023","27,161.2","26,852.8","27,286.9","26,812.6","21.95K","1.15%"
"10/14/2023","26,852.8","26,863.5","26,975.7","26,805.1","13.56K","-0.04%"
"10/13/2023","26,863.5","26,761.1","27,114.8","26,682.9","33.66K","0.38%"
"10/12/2023","26,761.1","26,878.2","26,942.8","26,565.3","32.75K","-0.43%"
"10/11/2023","26,876.6","27,391.9","27,475.9","26,558.4","55.78K","-1.88%"
"10/10/2023","27,391.0","27,581.5","27,728.1","27,300.1","34.32K","-0.69%"
"10/09/2023","27,581.4","27,922.7","27,986.4","27,279.5","44.81K","-1.22%"
"10/08/2023","27,922.7","27,961.1","28,097.5","27,714.4","24.11K","-0.14%"
"10/07/2023","27,961.1","27,935.5","28,021.3","27,859.0","17.29K","0.09%"
"10/06/2023","27,936.9","27,410.3","28,223.6","27,195.7","52.51K","1.92%"
"10/05/2023","27,410.3","27,783.5","28,089.1","27,371.7","46.26K","-1.37%"
"10/04/2023","27,790.9","27,428.7","27,832.7","27,242.5","40.93K","1.32%"
"10/03/2023","27,428.4","27,501.6","27,670.8","27,194.1","44.06K","-0.28%"
"10/02/2023","27,505.3","27,974.6","28,556.6","27,325.2","84.30K","-1.68%"
"10/01/2023","27,974.5","26,962.5","28,038.4","26,955.7","35.11K","3.75%"
"09/30/2023","26,962.7","26,908.1","27,085.7","26,887.5","17.55K","0.20%"
"09/29/2023","26,909.8","27,022.6","27,229.5","26,728.8","42.24K","-0.42%"
"09/28/2023","27,022.6","26,368.2","27,283.6","26,339.4","64.56K","2.49%"
"09/27/2023","26,366.1","26,218.9","26,836.9","26,109.1","50.80K","0.56%"
"09/26/2023","26,218.9","26,303.1","26,396.2","26,093.4","26.41K","-0.32%"
"09/25/2023","26,302.7","26,251.6","26,423.6","26,013.6","38.20K","0.20%"
"09/24/2023","26,251.5","26,579.0","26,727.6","26,162.2","22.32K","-1.23%"
"09/23/2023","26,579.2","26,581.7","26,636.2","26,517.5","12.92K","-0.01%"
"09/22/2023","26,581.9","26,569.5","26,736.4","26,488.5","28.79K","0.04%"
"09/21/2023","26,570.0","27,125.2","27,155.6","26,382.3","47.81K","-2.05%"
"09/20/2023","27,125.0","27,209.2","27,378.6","26,851.8","47.23K","-0.31%"
"09/19/2023","27,209.2","26,759.0","27,480.7","26,672.2","52.17K","1.67%"
"09/18/2023","26,763.5","26,530.3","27,413.3","26,405.2","63.35K","0.88%"
"09/17/2023","26,529.1","26,562.0","26,614.4","26,408.7","16.57K","-0.12%"
"09/16/2023","26,562.0","26,599.9","26,769.0","26,463.5","18.45K","-0.15%"
"09/15/2023","26,601.0","26,523.3","26,837.4","26,233.1","36.47K","0.29%"
"09/14/2023","26,524.7","26,223.0","26,760.3","26,148.6","53.82K","1.15%"
"09/13/2023","26,223.0","25,836.1","26,382.3","25,766.9","42.58K","1.50%"
"09/12/2023","25,834.5","25,166.4","26,472.6","25,133.5","78.71K","2.65%"
"09/11/2023","25,166.4","25,840.2","25,897.4","24,923.1","56.32K","-2.61%"
"09/10/2023","25,840.2","25,901.1","25,995.1","25,626.7","23.60K","-0.24%"
"09/09/2023","25,901.1","25,909.5","25,938.5","25,814.3","13.48K","-0.03%"
"09/08/2023","25,909.5","26,248.5","26,415.4","25,701.6","41.01K","-1.30%"
"09/07/2023","26,249.8","25,758.0","26,417.7","25,626.5","39.77K","1.91%"
"09/06/2023","25,758.0","25,790.1","26,018.4","25,411.7","37.78K","-0.13%"
"09/05/2023","25,790.2","25,824.4","25,864.0","25,596.3","28.40K","-0.13%"
"09/04/2023","25,823.3","25,971.0","26,094.2","25,660.9","27.13K","-0.57%"
"09/03/2023","25,971.0","25,869.7","26,090.4","25,816.6","21.36K","0.39%"
"09/02/2023","25,869.7","25,803.5","25,977.4","25,752.7","21.24K","0.26%"
"09/01/2023","25,803.2","25,938.3","26,144.9","25,361.9","58.08K","-0.52%"
"08/31/2023","25,937.3","27,300.6","27,464.5","25,731.0","69.11K","-4.99%"
"08/30/2023","27,298.8","27,723.9","27,757.3","27,043.2","46.54K","-1.53%"
"08/29/2023","27,723.9","26,118.1","28,046.0","25,919.8","98.32K","6.14%"
"08/28/2023","26,118.9","26,100.6","26,215.7","25,891.0","28.84K","0.07%"
"08/27/2023","26,100.6","26,017.1","26,176.8","25,968.7","14.29K","0.32%"
"08/26/2023","26,017.1","26,057.2","26,114.1","25,993.5","12.09K","-0.15%"
"08/25/2023","26,057.2","26,176.1","26,265.7","25,811.6","39.96K","-0.46%"
"08/24/2023","26,177.0","26,436.2","26,560.5","25,943.6","41.04K","-0.98%"
"08/23/2023","26,436.2","26,042.0","26,807.7","25,812.6","60.96K","1.52%"
"08/22/2023","26,039.9","26,126.8","26,138.8","25,481.9","47.72K","-0.33%"
"08/21/2023","26,126.0","26,190.8","26,220.9","25,850.8","41.10K","-0.25%"
"08/20/2023","26,190.8","26,099.5","26,269.1","25,998.5","24.00K","0.35%"
"08/19/2023","26,099.4","26,053.3","26,262.2","25,799.5","33.04K","0.18%"
"08/18/2023","26,053.2","26,635.7","26,801.9","25,691.0","93.05K","-2.19%"
"08/17/2023","26,635.7","28,726.1","28,771.8","25,489.4","132.92K","-7.28%"
"08/16/2023","28,726.3","29,195.3","29,251.1","28,717.6","43.71K","-1.61%"
"08/15/2023","29,195.3","29,426.7","29,472.0","29,118.6","33.81K","-0.79%"
"08/14/2023","29,426.7","29,300.1","29,689.0","29,116.0","39.30K","0.43%"
"08/13/2023","29,300.1","29,428.2","29,468.5","29,272.3","13.49K","-0.44%"
"08/12/2023","29,428.2","29,420.8","29,480.8","29,375.4","11.07K","0.02%"
"08/11/2023","29,420.8","29,448.9","29,544.9","29,271.2","27.71K","-0.10%"
"08/10/2023","29,449.0","29,578.0","29,719.4","29,377.5","32.00K","-0.44%"
"08/09/2023","29,578.0","29,771.3","30,104.0","29,384.2","49.67K","-0.67%"
"08/08/2023","29,777.4","29,204.2","30,168.6","29,137.7","62.57K","1.96%"
"08/07/2023","29,204.2","29,081.3","29,270.2","28,721.0","41.19K","0.42%"
"08/06/2023","29,081.3","29,067.9","29,198.9","28,987.4","16.03K","0.05%"
"08/05/2023","29,068.1","29,105.6","29,139.3","28,983.0","14.55K","-0.13%"
"08/04/2023","29,105.5","29,189.1","29,319.1","28,875.8","31.43K","-0.29%"
"08/03/2023","29,189.3","29,180.9","29,409.8","28,981.0","36.08K","0.05%"
"08/02/2023","29,173.7","29,711.8","30,025.9","28,961.6","67.41K","-1.81%"
"08/01/2023","29,712.2","29,232.3","29,712.2","28,611.0","64.01K","1.64%"
"07/31/2023","29,232.4","29,282.0","29,502.3","29,128.3","31.84K","-0.17%"
"07/30/2023","29,281.7","29,354.2","29,446.6","29,054.5","20.58K","-0.24%"
"07/29/2023","29,353.5","29,315.0","29,400.1","29,256.9","13.90K","0.13%"
"07/28/2023","29,315.0","29,222.7","29,533.0","29,125.1","31.42K","0.32%"
"07/27/2023","29,222.7","29,352.9","29,568.8","29,094.0","30.42K","-0.44%"
"07/26/2023","29,352.2","29,228.8","29,681.8","29,109.7","44.33K","0.42%"
"07/25/2023","29,228.6","29,178.3","29,365.4","29,058.7","29.05K","0.17%"
"07/24/2023","29,178.1","30,085.9","30,098.2","28,890.7","55.73K","-3.02%"
"07/23/2023","30,085.9","29,788.9","30,337.0","29,735.7","23.32K","1.00%"
"07/22/2023","29,788.9","29,904.5","29,988.0","29,657.3","18.47K","-0.38%"
"07/21/2023","29,903.1","29,801.0","30,058.9","29,739.9","32.59K","0.34%"
"07/20/2023","29,801.0","29,909.7","30,408.0","29,621.4","50.33K","-0.36%"
"07/19/2023","29,909.7","29,866.7","30,185.5","29,789.3","34.96K","0.14%"
"07/18/2023","29,866.8","30,139.7","30,242.4","29,624.6","42.40K","-0.91%"
"07/17/2023","30,139.7","30,235.5","30,335.9","29,693.3","42.84K","-0.32%"
"07/16/2023","30,235.5","30,291.8","30,435.0","30,075.4","20.31K","-0.18%"
"07/15/2023","30,291.4","30,316.8","30,395.4","30,246.9","17.06K","-0.09%"
"07/14/2023","30,317.4","31,465.4","31,602.6","29,944.3","82.42K","-3.65%"
"07/13/2023","31,466.1","30,387.3","31,764.5","30,260.0","99.81K","3.55%"
"07/12/2023","30,387.3","30,623.3","30,951.3","30,231.7","54.06K","-0.77%"
"07/11/2023","30,623.3","30,414.2","30,782.2","30,333.8","39.84K","0.68%"
"07/10/2023","30,415.3","30,166.9","31,019.6","29,969.1","55.24K","0.82%"
"07/09/2023","30,166.9","30,288.8","30,425.5","30,071.9","20.05K","-0.40%"
"07/08/2023","30,288.8","30,346.8","30,379.9","30,055.9","17.41K","-0.19%"
"07/07/2023","30,346.4","29,912.7","30,442.0","29,757.4","46.42K","1.45%"
"07/06/2023","29,913.1","30,512.8","31,463.6","29,869.0","90.81K","-1.97%"
"07/05/2023","30,512.8","30,768.6","30,875.6","30,233.3","43.23K","-0.83%"
"07/04/2023","30,768.4","31,152.0","31,326.5","30,657.8","42.12K","-1.23%"
"07/03/2023","31,151.3","30,617.5","31,377.0","30,581.5","56.49K","1.74%"
"07/02/2023","30,617.7","30,587.1","30,769.0","30,227.9","28.82K","0.10%"
"07/01/2023","30,586.8","30,472.9","30,649.9","30,329.0","22.46K","0.37%"
"06/30/2023","30,472.9","30,445.7","31,275.5","29,714.5","118.65K","0.09%"
"06/29/2023","30,445.7","30,077.3","30,823.1","30,051.3","49.57K","1.22%"
"06/28/2023","30,078.6","30,691.9","30,703.4","29,919.5","51.06K","-1.99%"
"06/27/2023","30,689.1","30,267.0","30,993.7","30,231.3","55.82K","1.39%"
"06/26/2023","30,267.0","30,466.3","30,645.9","29,986.3","58.71K","-0.65%"
"06/25/2023","30,465.3","30,533.6","31,040.2","30,315.8","37.12K","-0.22%"
"06/24/2023","30,533.6","30,680.7","30,795.3","30,269.4","38.15K","-0.48%"
"06/23/2023","30,679.4","29,890.2","31,395.4","29,822.6","98.85K","2.64%"
"06/22/2023","29,890.5","29,992.8","30,497.8","29,590.4","79.22K","-0.35%"
"06/21/2023","29,996.9","28,307.7","30,769.5","28,270.5","143.49K","5.97%"
"06/20/2023","28,307.7","26,845.9","28,393.0","26,665.5","100.55K","5.44%"
"06/19/2023","26,845.9","26,339.7","27,029.7","26,295.1","46.45K","1.92%"
"06/18/2023","26,339.7","26,515.0","26,679.3","26,290.6","27.31K","-0.66%"
"06/17/2023","26,515.0","26,341.3","26,767.3","26,183.5","35.86K","0.66%"
